SMILES,IC50_log
CC1=C(NCC2=C(C)C(=CC=C2)C3=CC=C4OCCOC4=C3)C=C(OCC5=CC(=CN=C5)C#N)C(=C1)CNC(CO)C(O)=O,3.784189633918261
CC1=C(CNC2=C(Cl)C=C(CNC(CO)C(O)=O)C(=C2)OCC3=CC(=CN=C3)C#N)C=CC=C1C4=CC=C5OCCOC5=C4,4.875197323201151
CC1=C(NCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C(OCC4=CC(=CN=C4)C#N)C(=C1)CNCC(O)CC(O)=O,2.833213344056216
CC1=C(NCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C(OCC4=CC(=CN=C4)C#N)C(=C1)CNC(CCO)C(O)=O,3.58351893845611
CC1=C(NCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C(OCC4=CC(=CN=C4)C#N)C(=C1)CNC(CO)CC(O)=O,3.1354942159291497
CC1=C(NCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C(OCC4=CC(=CN=C4)C#N)C(=C1)CN5CC(O)CC5C(O)=O,3.1780538303479458
CC1=C(NCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C(OCC4=CC(=CN=C4)C#N)C(=C1)CNC(CC(N)=O)C(O)=O,3.8501476017100584
OCC(NCC1=CC=C(NCC2=C(Br)C(=CC=C2)C3=CC=CC=C3)C=C1OCC4=CC(=CC=C4)C#N)C(O)=O,6.456769655572163
CC1=C(NCC2=C(Br)C(=CC=C2)C3=CC=CC=C3)C=C(OCC4=CC(=CN=C4)C#N)C(=C1)CNC(CO)C(O)=O,3.4339872044851463
OCC(NCC1=CC=C(NCC2=C(Br)C(=CC=C2)C3=CC=CC=C3)C=C1OCC4=CC(=CN=C4)C#N)C(O)=O,5.327876168789581
CC1=C(NCC2=C(C(=CC=C2)C3=CC=CC=C3)C(F)(F)F)C=C(OCC4=CC(=CN=C4)C#N)C(=C1)CNC(CO)C(O)=O,6.413458957167357
CC(=O)NCCNCC1=CC(=C(OCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C1)[N+]([O-])=O,2.5649493574615367
CC1=C(COC2=C(C=C(CNCCO)C=C2)[N+]([O-])=O)C=CC=C1C3=CC=CC=C3,2.4849066497880004
CC1=C(COC2=C(C=C(CN(CCO)CCO)C=C2)[N+]([O-])=O)C=CC=C1C3=CC=CC=C3,3.044522437723423
CC1=C(COC2=C(C=C(CNC(CO)CO)C=C2)[N+]([O-])=O)C=CC=C1C3=CC=CC=C3,2.1972245773362196
CC1=C(COC2=C(C=C(CNCC(C)(C)O)C=C2)[N+]([O-])=O)C=CC=C1C3=CC=CC=C3,3.828641396489095
CC1=C(COC2=C(C=C(CNC(C)(CO)CO)C=C2)[N+]([O-])=O)C=CC=C1C3=CC=CC=C3,4.5217885770490405
CC1=C(COC2=C(C=C(CNCC3=COC=C3)C=C2)[N+]([O-])=O)C=CC=C1C4=CC=CC=C4,4.465908118654584
CN(C)CCNCC1=CC(=C(OCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C1)[N+]([O-])=O,3.6375861597263857
CC1=C(COC2=C(C=C(CNCCCNC(CO)CO)C=C2)[N+]([O-])=O)C=CC=C1C3=CC=CC=C3,3.332204510175204
CC1=C(COC2=C(C=C(CNC(CO)C(O)=O)C=C2)[N+]([O-])=O)C=CC=C1C3=CC=CC=C3,3.332204510175204
CC(O)C(NCC1=CC(=C(OCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C1)[N+]([O-])=O)C(O)=O,4.110873864173311
CC1=C(COC2=C(C=C(CN3CCCC3C(O)=O)C=C2)[N+]([O-])=O)C=CC=C1C4=CC=CC=C4,1.6094379124341003
CC1=C(COC2=C(C=C(CN3CCCCC3C(O)=O)C=C2)[N+]([O-])=O)C=CC=C1C4=CC=CC=C4,2.1972245773362196
CN(CC(O)=O)CC1=CC(=C(OCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C1)[N+]([O-])=O,3.044522437723423
CC1=C(COC2=C(C=C(CNCCC(O)=O)C=C2)[N+]([O-])=O)C=CC=C1C3=CC=CC=C3,3.6635616461296463
CC(O)C(NCC1=CC(=C(OCC2=C(Br)C(=CC=C2)C3=CC=CC=C3)C=C1)[N+]([O-])=O)C(O)=O,5.8664680569332965
CSCCC(NCC1=CC(=C(OCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C1)[N+]([O-])=O)C(O)=O,2.8903717578961645
CCC(CO)(CO)NC(=O)C1CCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O,4.406719247264253
